species,Intolerant,Tolerant,Benthic,Rheophilic,Lithophilic,Phytophilic,Invertivorous,Omnivorous,Migration long,Potamodromous
Abramis ballerus,,,,1,1,,,,,
Abramis brama,,1,1,,,,,1,,1
Abramis sapa,,,1,1,1,,,,,
Acipenser baeri,,,1,,1,,,,1,
Acipenser gueldenstaedtii,,,1,1,,,,,1,
Acipenser naccarii,,,1,1,1,,,,,
Acipenser nudiventris,,,1,1,,,,,1,
Acipenser ruthenus,,,1,1,,,,,,1
Acipenser stellatus,,,1,1,,,,,1,
Acipenser sturio,,,1,1,1,,,1,1,
Alburnoides bipunctatus,1,,,1,1,,1,,,
Alburnus albidus,,,,,,,,,,
Alburnus alburnus,,1,,,,,,1,,
Alosa alosa,1,,,1,,,,,1,
Alosa fallax,,,,1,,,,,1,
Alosa immaculata,,,,,,,,,,
Alosa killarnensis,,,,,,,,,,
Alosa macedonica,,,,,1,,,,,
Alosa maeotica,,,,,,,,,,
Alosa tanaica,,,,,,,,,,
Alosa vistonica,,,,,,,,,,
Ambloplites rupestris,,,1,1,,,,,,
Ameiurus melas,,1,1,,1,,,1,,
Ameiurus nebulosus,,1,1,,,1,,1,,
Anaecypris hispanica,1,,,,,,,,,
Anguilla anguilla,,1,1,,,,,,1,
Aphanius fasciatus,,,,,,1,1,,,
Aphanius iberus,1,,,,,1,1,,,
Aspius aspius,,,,,1,,,,,1
Atherina boyeri,,,,,,1,,,,
Atherina hepsetus,,,,,,,,,,
Atherina presbyter,,,,,,,,,,
Aulopyge huegelii,,,,,,,,,,
Barbatula barbatula,,,1,1,1,,,,,
Barbatula bureschi,,,,,,,,,,
Barbatula pindus,,,,,,,,,,
Barbus albanicus,,,1,,,,,1,,
Barbus barbus,,,1,1,1,,,,,1
Barbus bocagei,,1,1,,1,,,1,,1
Barbus caninus,,,,,,,,,,
Barbus comizo,,1,,,1,,,1,,1
Barbus cyclolepis,,,1,1,1,,,,,
Barbus euboicus,,,1,1,1,,,,,
Barbus graecus,,,1,,1,,,1,,
Barbus graellsii,,1,1,,1,,,1,,1
Barbus guiraonis,,,,,,,,,,
Barbus haasi,,,1,1,1,,1,,,
Barbus macedonicus,,,,,,,,,,
Barbus meridionalis,,,1,1,1,,1,,,1
Barbus microcephalus,,,1,,1,,,1,,1
Barbus peloponnesius,,,1,1,1,,,,,
Barbus plebejus,,,,,,,,,,
Barbus prespensis,,,1,,1,,,,,
Barbus sclateri,,1,1,,1,,,1,,1
Barbus steindachneri,,,,,,,,,,
Barbus tyberinus,,,,,,,,,,
Blicca bjoerkna,,1,1,,,,,1,,
Carassius auratus,,1,1,,,1,,1,,
Carassius carassius,,1,1,,,1,,1,,
Carassius gibelio,,1,1,,,1,,1,,
Chalcalburnus belvica,,,,,,,,1,,
Chalcalburnus chalcoides,,,,,1,,,1,,1
Chelon labrosus,,,,,,,,,,
Chondrostoma arrigonis,,,,,,,,,,
Chondrostoma genei,,,,,,,,,,
Chondrostoma knerii,,,,,,,,,,
Chondrostoma lemmingii,,,,,,,,1,,
Chondrostoma lusitanicum,,1,,,,,,,,
Chondrostoma miegii,1,,1,1,1,,,,,1
Chondrostoma nasus,,,1,1,1,,,,,1
Chondrostoma phoxinus,,,,,,,,,,
Chondrostoma polylepis,,,1,1,1,,,,,1
Chondrostoma prespense,,,,,,,,,,
Chondrostoma soetta,,,,,,,,,,
Chondrostoma toxostoma,1,,1,1,1,,,1,,1
Chondrostoma vardarense,,,1,1,,,,,,
Chondrostoma willkommii,,,1,1,1,,,,,1
Cichlasoma facetum,,1,,,,,,1,,
Clarius batrachus,,,,,,,,,,
Clarius gariepinus,,,,,,1,,1,,
Cobitis arachthosensis,,,1,,,,,,,
Cobitis bilineata,,,,,,,,,,
Cobitis calderoni,1,,1,1,1,,1,,,
Cobitis dalmatina,,,,,,,,,,
Cobitis elongata,,,,,,,,,,
Cobitis elongatoides,,,,,,,,,,
Cobitis hellenica,,,1,,,1,,,,
Cobitis megaspila,,,,,,,,,,
Cobitis meridionalis,,,1,,1,,,1,,
Cobitis narentana,,,,,,,,,,
Cobitis ohridana,,,,,,,,,,
Cobitis paludica,,1,1,,,,1,,,
Cobitis punctilineata,,,1,,,,,,,
Cobitis rhodopensis,,,,,,,,,,
Cobitis stephanidisi,,,1,,,,,,,
Cobitis strumicae,,,1,,,,,,,
Cobitis taenia,,,1,,,1,,,,
Cobitis tanaitica,,,,,,,,,,
Cobitis trichonica,,,1,,,1,,,,
Cobitis vardarensis,,,1,1,,,,,,
Cobitis vettonica,,,,,,,,,,
Cobitis zanandreai,,,,,,,,,,
Coregonus albula,1,,,,1,,,,,
Coregonus autumnalis,,,,,1,,,,1,
Coregonus lavaretus,1,,,,1,,,,,1
Coregonus muscun,,,,,,,,,,
Coregonus oxyrinchus,,,,,1,,1,,1,
Coregonus peled,,,,,1,,,,,1
Coregonus pidschian,,,,,1,,,,1,
Coregonus trybomi,,,,,,,,,,
Cottus gobio,1,,1,1,1,,1,,,
Cottus koshewniko,,,1,1,1,,1,,,
Cottus petiti,1,,1,1,1,,1,,,
Cottus poecilopus,1,,1,1,1,,1,,,
Ctenopharyngodon idella,,1,,,,,,,,
Cyprinus carpio,,1,1,,,1,,1,,
Dicentrarchus labrax,,,,,,,1,,,
Dicentrarchus punctatus,,,,,,,,,,
Economidichthys pygmaeus,,,1,,,1,,,,
Economidichthys trichonis,,,,,,1,,,,
